Row,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97
AT1G64380.1,4.88573333333333,4.15863333333333,3.29806666666667,2.86575,2.43343333333333,2.40599722222222,2.37856111111111,2.351125,2.32368888888889,2.29625277777778,2.26881666666667,2.24138055555556,2.21394444444444,2.18650833333333,2.15907222222222,2.13163611111111,2.1042,2.14012395833333,2.17604791666667,2.211971875,2.24789583333333,2.28381979166667,2.31974375,2.35566770833333,2.39159166666667,2.427515625,2.46343958333333,2.49936354166667,2.5352875,2.57121145833333,2.60713541666667,2.643059375,2.67898333333333,2.71490729166667,2.75083125,2.78675520833333,2.82267916666667,2.858603125,2.89452708333333,2.93045104166667,2.966375,3.00229895833333,3.03822291666667,3.074146875,3.11007083333333,3.14599479166667,3.18191875,3.21784270833333,3.25376666666667,3.35493541666667,3.45610416666667,3.55727291666667,3.65844166666667,3.75961041666667,3.86077916666667,3.96194791666667,4.06311666666667,4.16428541666667,4.26545416666667,4.36662291666667,4.46779166666667,4.56896041666667,4.67012916666667,4.77129791666667,4.87246666666667,4.97363541666667,5.07480416666667,5.17597291666667,5.27714166666667,5.37831041666667,5.47947916666667,5.58064791666667,5.68181666666667,5.78298541666667,5.88415416666667,5.98532291666667,6.08649166666667,6.18766041666666,6.28882916666667,6.38999791666667,6.49116666666667,6.59233541666667,6.69350416666667,6.79467291666667,6.89584166666667,6.99701041666667,7.09817916666667,7.19934791666667,7.30051666666666,7.40168541666667,7.50285416666667,7.60402291666667,7.70519166666667,7.80636041666667,7.90752916666667,8.00869791666667,8.10986666666667
AT1G74840.1,77.0699,48.5500666666667,40.9214,40.6535166666667,40.3856333333333,40.8304861111111,41.2753388888889,41.7201916666667,42.1650444444444,42.6098972222222,43.05475,43.4996027777778,43.9444555555556,44.3893083333333,44.8341611111111,45.2790138888889,45.7238666666667,46.167221875,46.6105770833333,47.0539322916667,47.4972875,47.9406427083333,48.3839979166667,48.827353125,49.2707083333333,49.7140635416667,50.15741875,50.6007739583333,51.0441291666667,51.487484375,51.9308395833333,52.3741947916667,52.81755,53.2609052083333,53.7042604166667,54.147615625,54.5909708333333,55.0343260416667,55.47768125,55.9210364583333,56.3643916666667,56.807746875,57.2511020833333,57.6944572916667,58.1378125,58.5811677083333,59.0245229166667,59.467878125,59.9112333333333,60.12395625,60.3366791666667,60.5494020833333,60.762125,60.9748479166667,61.1875708333333,61.40029375,61.6130166666667,61.8257395833333,62.0384625,62.2511854166667,62.4639083333333,62.67663125,62.8893541666667,63.1020770833333,63.3148,63.5275229166667,63.7402458333333,63.95296875,64.1656916666667,64.3784145833333,64.5911375,64.8038604166667,65.0165833333333,65.22930625,65.4420291666667,65.6547520833333,65.867475,66.0801979166667,66.2929208333333,66.50564375,66.7183666666667,66.9310895833333,67.1438125,67.3565354166667,67.5692583333333,67.78198125,67.9947041666667,68.2074270833333,68.42015,68.6328729166667,68.8455958333333,69.05831875,69.2710416666667,69.4837645833333,69.6964875,69.9092104166667,70.1219333333333
AT1G74840.2,81.2412333333333,50.9191333333333,43.0764666666667,42.8523166666667,42.6281666666667,43.0723805555556,43.5165944444444,43.9608083333333,44.4050222222222,44.8492361111111,45.29345,45.7376638888889,46.1818777777778,46.6260916666667,47.0703055555555,47.5145194444444,47.9587333333333,48.4291260416667,48.89951875,49.3699114583333,49.8403041666667,50.310696875,50.7810895833333,51.2514822916667,51.721875,52.1922677083333,52.6626604166667,53.133053125,53.6034458333333,54.0738385416667,54.54423125,55.0146239583333,55.4850166666667,55.955409375,56.4258020833333,56.8961947916667,57.3665875,57.8369802083333,58.3073729166667,58.777765625,59.2481583333333,59.7185510416667,60.18894375,60.6593364583333,61.1297291666667,61.600121875,62.0705145833333,62.5409072916667,63.0113,63.2365131944444,63.4617263888889,63.6869395833333,63.9121527777778,64.1373659722222,64.3625791666666,64.5877923611111,64.8130055555555,65.03821875,65.2634319444444,65.4886451388889,65.7138583333333,65.9390715277778,66.1642847222222,66.3894979166667,66.6147111111111,66.8399243055555,67.0651375,67.2903506944444,67.5155638888889,67.7407770833333,67.9659902777778,68.1912034722222,68.4164166666667,68.6416298611111,68.8668430555555,69.09205625,69.3172694444444,69.5424826388889,69.7676958333333,69.9929090277778,70.2181222222222,70.4433354166667,70.6685486111111,70.8937618055555,71.118975,71.3441881944444,71.5694013888889,71.7946145833333,72.0198277777778,72.2450409722222,72.4702541666667,72.6954673611111,72.9206805555555,73.14589375,73.3711069444444,73.5963201388889,73.8215333333333
AT2G23340.1,4.1401,4.53663333333333,3.4236,2.89395,2.3643,2.49548611111111,2.62667222222222,2.75785833333333,2.88904444444444,3.02023055555556,3.15141666666667,3.28260277777778,3.41378888888889,3.544975,3.67616111111111,3.80734722222222,3.93853333333333,3.982609375,4.02668541666667,4.07076145833333,4.1148375,4.15891354166667,4.20298958333333,4.247065625,4.29114166666667,4.33521770833333,4.37929375,4.42336979166667,4.46744583333333,4.511521875,4.55559791666667,4.59967395833333,4.64375,4.68782604166667,4.73190208333333,4.775978125,4.82005416666667,4.86413020833333,4.90820625,4.95228229166667,4.99635833333333,5.040434375,5.08451041666667,5.12858645833333,5.1726625,5.21673854166667,5.26081458333333,5.304890625,5.34896666666667,5.35844375,5.36792083333333,5.37739791666667,5.386875,5.39635208333333,5.40582916666667,5.41530625,5.42478333333333,5.43426041666667,5.4437375,5.45321458333333,5.46269166666667,5.47216875,5.48164583333333,5.49112291666667,5.5006,5.51007708333333,5.51955416666667,5.52903125,5.53850833333333,5.54798541666667,5.5574625,5.56693958333333,5.57641666666667,5.58589375,5.59537083333333,5.60484791666667,5.614325,5.62380208333333,5.63327916666667,5.64275625,5.65223333333333,5.66171041666667,5.6711875,5.68066458333333,5.69014166666667,5.69961875,5.70909583333333,5.71857291666667,5.72805,5.73752708333333,5.74700416666667,5.75648125,5.76595833333333,5.77543541666667,5.7849125,5.79438958333333,5.80386666666667
AT3G06740.1,6.7235,6.26646666666667,5.13193333333333,4.75658333333333,4.38123333333333,4.50357222222222,4.62591111111111,4.74825,4.87058888888889,4.99292777777778,5.11526666666667,5.23760555555556,5.35994444444444,5.48228333333333,5.60462222222222,5.72696111111111,5.8493,5.85587083333333,5.86244166666667,5.8690125,5.87558333333333,5.88215416666667,5.888725,5.89529583333333,5.90186666666667,5.9084375,5.91500833333333,5.92157916666667,5.92815,5.93472083333333,5.94129166666667,5.9478625,5.95443333333333,5.96100416666667,5.967575,5.97414583333333,5.98071666666667,5.9872875,5.99385833333333,6.00042916666667,6.007,6.01357083333333,6.02014166666667,6.0267125,6.03328333333333,6.03985416666667,6.046425,6.05299583333333,6.05956666666667,6.09377708333333,6.1279875,6.16219791666667,6.19640833333333,6.23061875,6.26482916666667,6.29903958333333,6.33325,6.36746041666667,6.40167083333333,6.43588125,6.47009166666667,6.50430208333333,6.5385125,6.57272291666667,6.60693333333333,6.64114375,6.67535416666667,6.70956458333333,6.743775,6.77798541666667,6.81219583333333,6.84640625,6.88061666666667,6.91482708333333,6.9490375,6.98324791666667,7.01745833333333,7.05166875,7.08587916666667,7.12008958333333,7.1543,7.18851041666667,7.22272083333333,7.25693125,7.29114166666667,7.32535208333333,7.3595625,7.39377291666667,7.42798333333333,7.46219375,7.49640416666667,7.53061458333333,7.564825,7.59903541666667,7.63324583333333,7.66745625,7.70166666666667
AT3G19580.2,10.8908333333333,11.9675333333333,9.1777,7.94241666666667,6.70713333333333,6.64647222222222,6.58581111111111,6.52515,6.46448888888889,6.40382777777778,6.34316666666667,6.28250555555556,6.22184444444444,6.16118333333333,6.10052222222222,6.03986111111111,5.9792,5.98481979166667,5.99043958333333,5.996059375,6.00167916666667,6.00729895833333,6.01291875,6.01853854166667,6.02415833333333,6.029778125,6.03539791666667,6.04101770833333,6.0466375,6.05225729166667,6.05787708333333,6.063496875,6.06911666666667,6.07473645833333,6.08035625,6.08597604166667,6.09159583333333,6.097215625,6.10283541666667,6.10845520833333,6.114075,6.11969479166667,6.12531458333333,6.130934375,6.13655416666667,6.14217395833333,6.14779375,6.15341354166667,6.15903333333333,6.22563958333333,6.29224583333333,6.35885208333333,6.42545833333333,6.49206458333333,6.55867083333333,6.62527708333333,6.69188333333333,6.75848958333333,6.82509583333333,6.89170208333333,6.95830833333333,7.02491458333333,7.09152083333333,7.15812708333333,7.22473333333333,7.29133958333333,7.35794583333333,7.42455208333333,7.49115833333333,7.55776458333333,7.62437083333333,7.69097708333333,7.75758333333333,7.82418958333333,7.89079583333333,7.95740208333333,8.02400833333333,8.09061458333333,8.15722083333333,8.22382708333333,8.29043333333333,8.35703958333333,8.42364583333333,8.49025208333333,8.55685833333333,8.62346458333333,8.69007083333333,8.75667708333333,8.82328333333333,8.88988958333333,8.95649583333333,9.02310208333333,9.08970833333333,9.15631458333333,9.22292083333333,9.28952708333333,9.35613333333333
AT3G19580.1,11.0159666666667,11.8005666666667,9.17083333333333,8.04948333333333,6.92813333333333,6.83833611111111,6.74853888888889,6.65874166666667,6.56894444444444,6.47914722222222,6.38935,6.29955277777778,6.20975555555555,6.11995833333333,6.03016111111111,5.94036388888889,5.85056666666667,5.85990729166667,5.86924791666667,5.87858854166667,5.88792916666667,5.89726979166667,5.90661041666667,5.91595104166667,5.92529166666667,5.93463229166667,5.94397291666667,5.95331354166667,5.96265416666667,5.97199479166667,5.98133541666667,5.99067604166667,6.00001666666667,6.00935729166667,6.01869791666667,6.02803854166667,6.03737916666667,6.04671979166667,6.05606041666667,6.06540104166667,6.07474166666667,6.08408229166667,6.09342291666667,6.10276354166667,6.11210416666667,6.12144479166667,6.13078541666667,6.14012604166667,6.14946666666667,6.21708263888889,6.28469861111111,6.35231458333333,6.41993055555556,6.48754652777778,6.5551625,6.62277847222222,6.69039444444444,6.75801041666667,6.82562638888889,6.89324236111111,6.96085833333333,7.02847430555556,7.09609027777778,7.16370625,7.23132222222222,7.29893819444444,7.36655416666667,7.43417013888889,7.50178611111111,7.56940208333333,7.63701805555555,7.70463402777778,7.77225,7.83986597222222,7.90748194444444,7.97509791666667,8.04271388888889,8.11032986111111,8.17794583333333,8.24556180555556,8.31317777777778,8.38079375,8.44840972222222,8.51602569444444,8.58364166666667,8.65125763888889,8.71887361111111,8.78648958333333,8.85410555555556,8.92172152777778,8.9893375,9.05695347222222,9.12456944444444,9.19218541666666,9.25980138888889,9.32741736111111,9.39503333333333
AT3G49930.1,9.33306666666667,9.6801,6.6238,6.11695,5.6101,5.77649444444444,5.94288888888889,6.10928333333333,6.27567777777778,6.44207222222222,6.60846666666667,6.77486111111111,6.94125555555556,7.10765,7.27404444444445,7.44043888888889,7.60683333333333,7.6056875,7.60454166666667,7.60339583333333,7.60225,7.60110416666667,7.59995833333333,7.5988125,7.59766666666667,7.59652083333333,7.595375,7.59422916666667,7.59308333333333,7.5919375,7.59079166666667,7.58964583333333,7.5885,7.58735416666667,7.58620833333333,7.5850625,7.58391666666667,7.58277083333333,7.581625,7.58047916666667,7.57933333333333,7.5781875,7.57704166666667,7.57589583333333,7.57475,7.57360416666667,7.57245833333333,7.5713125,7.57016666666667,7.57115138888889,7.57213611111111,7.57312083333333,7.57410555555555,7.57509027777778,7.576075,7.57705972222222,7.57804444444444,7.57902916666667,7.58001388888889,7.58099861111111,7.58198333333333,7.58296805555555,7.58395277777778,7.5849375,7.58592222222222,7.58690694444444,7.58789166666667,7.58887638888889,7.58986111111111,7.59084583333333,7.59183055555556,7.59281527777778,7.5938,7.59478472222222,7.59576944444444,7.59675416666667,7.59773888888889,7.59872361111111,7.59970833333333,7.60069305555555,7.60167777777778,7.6026625,7.60364722222222,7.60463194444444,7.60561666666667,7.60660138888889,7.60758611111111,7.60857083333333,7.60955555555555,7.61054027777778,7.611525,7.61250972222222,7.61349444444444,7.61447916666667,7.61546388888889,7.61644861111111,7.61743333333333
AT3G58190.1,1.21983333333333,1.28206666666667,0.930866666666667,0.787766666666667,0.644666666666667,0.637647222222222,0.630627777777778,0.623608333333333,0.616588888888889,0.609569444444444,0.60255,0.595530555555555,0.588511111111111,0.581491666666667,0.574472222222222,0.567452777777778,0.560433333333333,0.557121875,0.553810416666667,0.550498958333333,0.5471875,0.543876041666667,0.540564583333333,0.537253125,0.533941666666667,0.530630208333333,0.52731875,0.524007291666667,0.520695833333333,0.517384375,0.514072916666667,0.510761458333333,0.50745,0.504138541666667,0.500827083333333,0.497515625,0.494204166666667,0.490892708333333,0.48758125,0.484269791666667,0.480958333333333,0.477646875,0.474335416666667,0.471023958333333,0.4677125,0.464401041666667,0.461089583333333,0.457778125,0.454466666666667,0.451683333333333,0.4489,0.446116666666667,0.443333333333333,0.44055,0.437766666666667,0.434983333333333,0.4322,0.429416666666667,0.426633333333333,0.42385,0.421066666666667,0.418283333333333,0.4155,0.412716666666667,0.409933333333333,0.40715,0.404366666666667,0.401583333333333,0.3988,0.396016666666667,0.393233333333333,0.39045,0.387666666666667,0.384883333333333,0.3821,0.379316666666667,0.376533333333333,0.37375,0.370966666666667,0.368183333333333,0.3654,0.362616666666667,0.359833333333333,0.35705,0.354266666666667,0.351483333333333,0.3487,0.345916666666667,0.343133333333333,0.34035,0.337566666666667,0.334783333333333,0.332,0.329216666666667,0.326433333333333,0.32365,0.320866666666667
AT3G60390.1,14.5847666666667,13.8998,11.1726333333333,9.98383333333333,8.79503333333333,8.84753333333333,8.90003333333333,8.95253333333333,9.00503333333333,9.05753333333333,9.11003333333333,9.16253333333333,9.21503333333333,9.26753333333333,9.32003333333333,9.37253333333333,9.42503333333333,9.41179375,9.39855416666667,9.38531458333333,9.372075,9.35883541666667,9.34559583333333,9.33235625,9.31911666666667,9.30587708333333,9.2926375,9.27939791666667,9.26615833333333,9.25291875,9.23967916666667,9.22643958333333,9.2132,9.19996041666667,9.18672083333333,9.17348125,9.16024166666667,9.14700208333333,9.1337625,9.12052291666667,9.10728333333333,9.09404375,9.08080416666667,9.06756458333333,9.054325,9.04108541666667,9.02784583333333,9.01460625,9.00136666666667,9.02804861111111,9.05473055555556,9.0814125,9.10809444444444,9.13477638888889,9.16145833333333,9.18814027777778,9.21482222222222,9.24150416666667,9.26818611111111,9.29486805555555,9.32155,9.34823194444444,9.37491388888889,9.40159583333333,9.42827777777778,9.45495972222222,9.48164166666667,9.50832361111111,9.53500555555556,9.5616875,9.58836944444444,9.61505138888889,9.64173333333333,9.66841527777778,9.69509722222222,9.72177916666667,9.74846111111111,9.77514305555555,9.801825,9.82850694444444,9.85518888888889,9.88187083333333,9.90855277777778,9.93523472222222,9.96191666666667,9.98859861111111,10.0152805555556,10.0419625,10.0686444444444,10.0953263888889,10.1220083333333,10.1486902777778,10.1753722222222,10.2020541666667,10.2287361111111,10.2554180555556,10.2821
